Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Albania,ALB,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750
Algeria,DZA,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740
American Samoa,ASM,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Andorra,AND,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Angola,AGO,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,ATG,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Argentina,ARG,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400
Armenia,ARM,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740
Aruba,ABW,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Australia,AUS,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220
Austria,AUT,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879
Azerbaijan,AZE,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600
"Bahamas, The",BHS,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880
Bahrain,BHR,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,760,760,762,767,770,770,771,771,771,771
Bangladesh,BGD,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630,147630,147630
Barbados,BRB,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Belarus,BLR,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600
Belgium,BEL,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530
Belize,BLZ,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970
Benin,BEN,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760
Bermuda,BMU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Bhutan,BTN,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,40077,40077,40077,40077,40077,40077,40077,40077,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394
Bolivia,BOL,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580
Bosnia and Herzegovina,BIH,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210
Botswana,BWA,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730
Brazil,BRA,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770
British Virgin Islands,VGB,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Brunei Darussalam,BRN,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770
Bulgaria,BGR,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000
Burkina Faso,BFA,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220
Burundi,BDI,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830
Cabo Verde,CPV,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Cambodia,KHM,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040
Cameroon,CMR,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440,475440
Canada,CAN,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670
Cayman Islands,CYM,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264
Central African Republic,CAF,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Chad,TCD,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000
Channel Islands,CHI,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Chile,CHL,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096
China,CHN,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562950,9562920,9562920,9562920,9562920,9562920,9562920,9562920,9562920,9562910.8,9562911,9562911,9562911,9562911,9562911,9562911,9562911,9562911,9562911
Colombia,COL,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141750,1141748,1141749,1141749,1141749,1141749,1141749
Comoros,COM,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
"Congo, Dem. Rep.",COD,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860,2344860
"Congo, Rep.",COG,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
Costa Rica,CRI,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100,51100
Cote d'Ivoire,CIV,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460
Croatia,HRV,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590
Cuba,CUB,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109890,109880,109880,109880,109880,109880,109880,109880,109880
Curacao,CUW,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
Cyprus,CYP,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250,9250
Czech Republic,CZE,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870,78870
Denmark,DNK,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,43090,42890,42916,42922,42922,42922,42922
Djibouti,DJI,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200
Dominica,DMA,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Dominican Republic,DOM,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670,48670
Ecuador,ECU,283560,283560,283560,283560,283560,283560,283560,283560,283560,283560,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370,256370
"Egypt, Arab Rep.",EGY,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450,1001450
El Salvador,SLV,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040
Equatorial Guinea,GNQ,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Eritrea,ERI,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600
Estonia,EST,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230
Eswatini,SWZ,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360
Ethiopia,ETH,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300
Faroe Islands,FRO,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
Fiji,FJI,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
Finland,FIN,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338420,338420,338420,338420,338420,338420,338420,338420,338420,338420
France,FRA,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087
French Polynesia,PYF,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Gabon,GAB,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670
"Gambia, The",GMB,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
Georgia,GEO,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700
Germany,DEU,356970,356970,356970,356970,356970,356970,356970,356970,356970,356970,357030,357030,357030,357030,357030,357030,357030,357030,357110,357120,357127,357140,357170,357340,357380,357380,357380,357380
Ghana,GHA,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540
Gibraltar,GIB,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Greece,GRC,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960
Greenland,GRL,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Grenada,GRD,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Guam,GUM,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guatemala,GTM,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890
Guinea,GIN,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860
Guinea-Bissau,GNB,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130
Guyana,GUY,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970
Haiti,HTI,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750
Honduras,HND,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490
"Hong Kong SAR, China",HKG,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1105,1105,1105,1105
Hungary,HUN,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030
Iceland,ISL,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
India,IND,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287259,3287259,3287259,3287259
Indonesia,IDN,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910931,1910931,1910931,1910931
"Iran, Islamic Rep.",IRN,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150
Iraq,IRQ,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,435240,435050,435050,435050,435050,435050,435050
Ireland,IRL,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280
